Date,Time,O3,PM_10,PM_25,NO2,SO2,CO,Temperature,Humidity,Precipitation
05/07/2021,23:15:06,39,9,3,4,1,81,15,87,2,Ясно
06/07/2021,00:15:05,40,9,3,3,1,80,15,93,6,Ясно
06/07/2021,01:15:04,44,8,3,3,1,77,13,100,2,Ясно
06/07/2021,02:15:05,43,8,3,3,1,75,13,100,км/ч,Ясно
06/07/2021,03:15:04,43,8,4,2,1,74,12,100,2,Стелющийся туман
06/07/2021,04:15:04,39,9,4,5,1,73,11,100,км/ч,Стелющийся туман
06/07/2021,05:15:05,39,8,4,4,1,72,13,93,2,Солнечно
06/07/2021,06:15:05,40,8,3,4,1,72,15,87,2,Солнечно
06/07/2021,07:15:05,41,7,3,3,1,72,19,67,2,Солнечно
06/07/2021,08:15:04,43,7,3,3,1,71,20,63,6,Солнечно
06/07/2021,09:15:05,46,7,3,3,1,71,23,43,17,Солнечно
06/07/2021,10:15:05,46,8,3,3,1,70,23,43,13,Солнечно
06/07/2021,11:15:05,48,8,3,2,1,70,24,43,13,Солнечно
06/07/2021,12:15:04,51,8,3,2,1,70,24,40,13,Солнечно
06/07/2021,13:15:05,54,9,3,2,1,79,26,38,13,Солнечно
06/07/2021,14:15:05,55,9,3,2,1,81,26,33,13,Солнечно
06/07/2021,15:15:04,56,9,3,2,1,82,27,31,13,Солнечно
06/07/2021,16:15:05,48,9,3,3,1,84,27,34,6,Солнечно
06/07/2021,17:15:04,46,9,3,3,1,85,27,36,13,Солнечно
06/07/2021,18:15:05,45,9,3,4,1,86,27,34,13,Солнечно
06/07/2021,19:15:05,45,9,3,4,1,87,26,36,13,Солнечно
06/07/2021,20:15:04,41,9,3,5,1,91,25,38,9,Солнечно
06/07/2021,21:15:05,38,9,3,5,1,94,20,63,6,Ясно
06/07/2021,22:15:04,36,10,3,5,1,98,18,72,6,Ясно
06/07/2021,23:15:05,35,9,3,5,1,97,16,82,6,Ясно
07/07/2021,00:15:02,,,,,,,,,,
07/07/2021,01:15:04,34,9,4,4,1,98,14,93,2,Ясно
07/07/2021,02:15:04,34,9,4,4,1,97,13,100,км/ч,Ясно
07/07/2021,03:15:05,33,9,4,3,1,96,12,100,км/ч,Ясно
07/07/2021,04:15:05,32,10,4,3,1,95,12,100,км/ч,Стелющийся туман
07/07/2021,05:15:04,33,10,4,3,1,95,15,87,2,Солнечно
07/07/2021,06:15:05,34,10,4,4,1,95,17,82,км/ч,Солнечно
07/07/2021,07:15:04,36,10,4,3,1,95,20,72,2,Солнечно
07/07/2021,08:15:05,38,10,4,3,1,94,23,60,2,Солнечно
07/07/2021,09:15:04,41,10,4,3,1,94,24,43,9,Солнечно
07/07/2021,10:15:05,42,10,4,3,1,93,26,33,17,Солнечно
07/07/2021,11:15:04,46,11,4,2,1,92,27,34,13,Небольшая облачность
07/07/2021,12:15:05,51,11,4,2,1,91,27,34,13,Небольшая облачность
07/07/2021,13:15:05,54,12,5,1,1,90,28,32,13,Небольшая облачность
07/07/2021,14:15:04,56,12,5,1,1,90,28,32,17,Небольшая облачность
07/07/2021,15:15:05,58,12,5,1,1,89,29,30,9,Небольшая облачность
07/07/2021,16:15:04,52,11,4,2,1,89,29,32,9,Небольшая облачность
07/07/2021,17:15:05,51,11,4,3,1,89,29,32,13,Небольшая облачность
07/07/2021,18:15:04,49,11,4,3,1,90,28,34,6,Небольшая облачность
07/07/2021,19:15:05,49,9,3,4,1,90,28,41,6,Небольшая облачность
07/07/2021,20:15:04,44,10,4,6,1,99,24,56,2,Небольшая облачность
07/07/2021,21:15:05,39,11,5,8,1,108,20,72,2,Ясно
07/07/2021,22:15:05,38,13,7,10,2,117,19,77,2,Ясно
07/07/2021,23:15:05,37,13,7,8,2,115,18,82,2,Ясно
08/07/2021,00:15:04,36,13,7,7,2,113,17,93,2,Ясно
08/07/2021,01:15:04,37,13,7,6,2,112,16,100,км/ч,Ясно
08/07/2021,02:15:05,40,13,7,4,2,108,16,100,2,Ясно
08/07/2021,03:15:04,42,12,6,2,2,105,16,93,2,Облачно с прояснениями
08/07/2021,04:15:05,49,13,6,4,1,101,15,100,км/ч,Стелющийся туман
08/07/2021,05:15:04,48,14,6,4,1,100,16,93,2,Небольшая облачность
08/07/2021,06:15:05,48,14,6,5,1,99,19,77,2,Небольшая облачность
08/07/2021,07:15:04,47,14,6,4,1,97,22,64,6,Небольшая облачность
08/07/2021,08:15:05,51,15,6,4,1,98,24,53,13,Небольшая облачность
08/07/2021,09:15:05,56,15,6,4,1,100,26,50,9,Небольшая облачность
08/07/2021,10:15:05,58,12,6,3,2,101,28,41,13,Небольшая облачность
08/07/2021,11:15:04,63,12,6,3,1,98,30,34,17,Солнечно
08/07/2021,12:15:05,69,12,6,2,1,95,30,34,17,Небольшая облачность
08/07/2021,13:15:05,67,12,6,1,1,93,30,32,17,Небольшая облачность
08/07/2021,14:15:04,70,12,6,1,1,93,31,32,13,Небольшая облачность
08/07/2021,15:15:04,73,13,6,1,1,94,31,35,13,Небольшая облачность
08/07/2021,16:15:05,66,11,5,2,1,94,31,30,9,Небольшая облачность
08/07/2021,17:15:05,66,12,5,2,1,95,30,34,13,Небольшая облачность
08/07/2021,18:15:04,65,12,6,2,1,97,30,37,13,Небольшая облачность
08/07/2021,19:15:05,64,9,4,2,2,98,28,39,13,Солнечно
